Block, 1, trialnr, 1, trialtype, 1, cuetype, Mask_A1, RZ, 392, ReactionType, hit
Block, 1, trialnr, 2, trialtype, 1, cuetype, Mask_A4, RZ, 744, ReactionType, incorrect
Block, 1, trialnr, 3, trialtype, 3, cuetype, Mask_A1, RZ, 573, ReactionType, hit
Block, 1, trialnr, 4, trialtype, 1, cuetype, Mask_A1, RZ, 308, ReactionType, hit
Block, 1, trialnr, 5, trialtype, 1, cuetype, Mask_A1, RZ, 415, ReactionType, hit
Block, 1, trialnr, 6, trialtype, 2, cuetype, Mask_B4_1, RZ, 485, ReactionType, hit
Block, 1, trialnr, 7, trialtype, 1, cuetype, Mask_A1, RZ, 355, ReactionType, hit
Block, 1, trialnr, 8, trialtype, 1, cuetype, Mask_A1, RZ, 609, ReactionType, hit
Block, 1, trialnr, 9, trialtype, 4, cuetype, Mask_B3, RZ, 249, ReactionType, hit
Block, 1, trialnr, 10, trialtype, 1, cuetype, Mask_A1, RZ, 349, ReactionType, hit
Block, 1, trialnr, 11, trialtype, 2, cuetype, Mask_B2, RZ, 286, ReactionType, hit
Block, 1, trialnr, 12, trialtype, 1, cuetype, Mask_A4, RZ, 298, ReactionType, hit
Block, 1, trialnr, 13, trialtype, 1, cuetype, Mask_A3, RZ, 375, ReactionType, hit
Block, 1, trialnr, 14, trialtype, 3, cuetype, Mask_A1, RZ, 476, ReactionType, hit
Block, 1, trialnr, 15, trialtype, 1, cuetype, Mask_A1, RZ, 361, ReactionType, hit
Block, 1, trialnr, 16, trialtype, 1, cuetype, Mask_A1, RZ, 301, ReactionType, hit
Block, 1, trialnr, 17, trialtype, 4, cuetype, Mask_B2_1, RZ, 340, ReactionType, hit
Block, 1, trialnr, 18, trialtype, 1, cuetype, Mask_A1, RZ, 307, ReactionType, hit
Block, 1, trialnr, 19, trialtype, 1, cuetype, Mask_A5, RZ, 374, ReactionType, hit
Block, 1, trialnr, 20, trialtype, 1, cuetype, Mask_A3, RZ, 368, ReactionType, hit
Block, 1, trialnr, 21, trialtype, 3, cuetype, Mask_A1, RZ, 461, ReactionType, hit
Block, 1, trialnr, 22, trialtype, 2, cuetype, Mask_B3, RZ, 288, ReactionType, hit
