Block, 1, trialnr, 1, trialtype, 1, cuetype, Mask_A1, RZ, 0, ReactionType, miss
Block, 1, trialnr, 2, trialtype, 1, cuetype, Mask_A2, RZ, 411, ReactionType, hit
Block, 1, trialnr, 3, trialtype, 3, cuetype, Mask_A5, RZ, 265, ReactionType, incorrect
Block, 1, trialnr, 4, trialtype, 1, cuetype, Mask_A1, RZ, 272, ReactionType, hit
Block, 1, trialnr, 5, trialtype, 1, cuetype, Mask_A1, RZ, 345, ReactionType, hit
Block, 1, trialnr, 6, trialtype, 2, cuetype, Mask_B2_1, RZ, 273, ReactionType, hit
Block, 1, trialnr, 7, trialtype, 1, cuetype, Mask_A5, RZ, 278, ReactionType, hit
Block, 1, trialnr, 8, trialtype, 1, cuetype, Mask_A4, RZ, 449, ReactionType, hit
Block, 1, trialnr, 9, trialtype, 4, cuetype, Mask_B3, RZ, 476, ReactionType, hit
Block, 1, trialnr, 10, trialtype, 1, cuetype, Mask_A1, RZ, 362, ReactionType, hit
Block, 1, trialnr, 11, trialtype, 2, cuetype, Mask_B4, RZ, 286, ReactionType, hit
Block, 1, trialnr, 12, trialtype, 1, cuetype, Mask_A1, RZ, 353, ReactionType, hit
Block, 1, trialnr, 13, trialtype, 1, cuetype, Mask_A1, RZ, 406, ReactionType, hit
Block, 1, trialnr, 14, trialtype, 3, cuetype, Mask_A3, RZ, 493, ReactionType, hit
Block, 1, trialnr, 15, trialtype, 1, cuetype, Mask_A1, RZ, 386, ReactionType, hit
Block, 1, trialnr, 16, trialtype, 1, cuetype, Mask_A1, RZ, 386, ReactionType, hit
Block, 1, trialnr, 17, trialtype, 4, cuetype, Mask_B3, RZ, 412, ReactionType, hit
Block, 1, trialnr, 18, trialtype, 1, cuetype, Mask_A4, RZ, 337, ReactionType, hit
Block, 1, trialnr, 19, trialtype, 1, cuetype, Mask_A4, RZ, 268, ReactionType, hit
Block, 1, trialnr, 20, trialtype, 1, cuetype, Mask_A1, RZ, 342, ReactionType, incorrect
Block, 1, trialnr, 21, trialtype, 3, cuetype, Mask_A1, RZ, 648, ReactionType, incorrect
Block, 1, trialnr, 22, trialtype, 2, cuetype, Mask_B3_1, RZ, 536, ReactionType, hit
Block, 1, trialnr, 23, trialtype, 1, cuetype, Mask_A1, RZ, 351, ReactionType, hit
Block, 1, trialnr, 24, trialtype, 1, cuetype, Mask_A1, RZ, 417, ReactionType, hit
Block, 1, trialnr, 25, trialtype, 1, cuetype, Mask_A1, RZ, 347, ReactionType, hit
Block, 1, trialnr, 26, trialtype, 4, cuetype, Mask_B2_1, RZ, 265, ReactionType, hit
Block, 1, trialnr, 27, trialtype, 1, cuetype, Mask_A1, RZ, 243, ReactionType, hit
Block, 1, trialnr, 28, trialtype, 1, cuetype, Mask_A5, RZ, 424, ReactionType, hit
Block, 1, trialnr, 29, trialtype, 2, cuetype, Mask_B1, RZ, 270, ReactionType, hit
Block, 1, trialnr, 30, trialtype, 1, cuetype, Mask_A1, RZ, 630, ReactionType, hit
Block, 1, trialnr, 31, trialtype, 1, cuetype, Mask_A1, RZ, 431, ReactionType, hit
Block, 1, trialnr, 32, trialtype, 3, cuetype, Mask_A1, RZ, 318, ReactionType, incorrect
Block, 1, trialnr, 33, trialtype, 1, cuetype, Mask_A1, RZ, 424, ReactionType, hit
Block, 1, trialnr, 34, trialtype, 1, cuetype, Mask_A2, RZ, 415, ReactionType, hit
Block, 1, trialnr, 35, trialtype, 1, cuetype, Mask_A1, RZ, 343, ReactionType, hit
Block, 1, trialnr, 36, trialtype, 4, cuetype, Mask_B4_1, RZ, 267, ReactionType, hit
Block, 1, trialnr, 37, trialtype, 1, cuetype, Mask_A1, RZ, 365, ReactionType, hit
Block, 1, trialnr, 38, trialtype, 1, cuetype, Mask_A4, RZ, 464, ReactionType, hit
Block, 1, trialnr, 39, trialtype, 3, cuetype, Mask_A1, RZ, 509, ReactionType, hit
Block, 1, trialnr, 40, trialtype, 1, cuetype, Mask_A5, RZ, 508, ReactionType, hit
Block, 1, trialnr, 41, trialtype, 1, cuetype, Mask_A4, RZ, 277, ReactionType, hit
Block, 1, trialnr, 42, trialtype, 2, cuetype, Mask_B4, RZ, 453, ReactionType, hit
Block, 1, trialnr, 43, trialtype, 1, cuetype, Mask_A5, RZ, 520, ReactionType, hit
Block, 1, trialnr, 44, trialtype, 1, cuetype, Mask_A1, RZ, 288, ReactionType, hit
Block, 1, trialnr, 45, trialtype, 4, cuetype, Mask_B4, RZ, 306, ReactionType, hit
Block, 1, trialnr, 46, trialtype, 1, cuetype, Mask_A4, RZ, 575, ReactionType, hit
Block, 1, trialnr, 47, trialtype, 1, cuetype, Mask_A1, RZ, 427, ReactionType, incorrect
Block, 1, trialnr, 48, trialtype, 1, cuetype, Mask_A4, RZ, 357, ReactionType, hit
Block, 1, trialnr, 49, trialtype, 3, cuetype, Mask_A5, RZ, 508, ReactionType, hit
Block, 1, trialnr, 50, trialtype, 1, cuetype, Mask_A3, RZ, 437, ReactionType, hit
Block, 1, trialnr, 51, trialtype, 4, cuetype, Mask_B2, RZ, 534, ReactionType, hit
Block, 1, trialnr, 52, trialtype, 2, cuetype, Mask_B2_1, RZ, 241, ReactionType, hit
Block, 2, trialnr, 1, trialtype, 1, cuetype, Mask_A1, RZ, 394, ReactionType, hit
Block, 2, trialnr, 2, trialtype, 2, cuetype, Mask_B3_1, RZ, 279, ReactionType, hit
Block, 2, trialnr, 3, trialtype, 1, cuetype, Mask_A2, RZ, 363, ReactionType, hit
Block, 2, trialnr, 4, trialtype, 4, cuetype, Mask_B2, RZ, 491, ReactionType, hit
Block, 2, trialnr, 5, trialtype, 1, cuetype, Mask_A1, RZ, 322, ReactionType, hit
Block, 2, trialnr, 6, trialtype, 2, cuetype, Mask_B2_1, RZ, 401, ReactionType, hit
Block, 2, trialnr, 7, trialtype, 1, cuetype, Mask_A2, RZ, 339, ReactionType, hit
Block, 2, trialnr, 8, trialtype, 1, cuetype, Mask_A1, RZ, 420, ReactionType, hit
Block, 2, trialnr, 9, trialtype, 4, cuetype, Mask_B1, RZ, 645, ReactionType, hit
Block, 2, trialnr, 10, trialtype, 1, cuetype, Mask_A1, RZ, 335, ReactionType, hit
Block, 2, trialnr, 11, trialtype, 2, cuetype, Mask_B4, RZ, 289, ReactionType, hit
Block, 2, trialnr, 12, trialtype, 1, cuetype, Mask_A1, RZ, 526, ReactionType, hit
Block, 2, trialnr, 13, trialtype, 1, cuetype, Mask_A1, RZ, 490, ReactionType, hit
Block, 2, trialnr, 14, trialtype, 3, cuetype, Mask_A5, RZ, 438, ReactionType, hit
Block, 2, trialnr, 15, trialtype, 1, cuetype, Mask_A1, RZ, 364, ReactionType, hit
Block, 2, trialnr, 16, trialtype, 1, cuetype, Mask_A1, RZ, 422, ReactionType, hit
Block, 2, trialnr, 17, trialtype, 4, cuetype, Mask_B1, RZ, 348, ReactionType, hit
Block, 2, trialnr, 18, trialtype, 1, cuetype, Mask_A1, RZ, 311, ReactionType, hit
Block, 2, trialnr, 19, trialtype, 1, cuetype, Mask_A5, RZ, 423, ReactionType, hit
Block, 2, trialnr, 20, trialtype, 1, cuetype, Mask_A2, RZ, 441, ReactionType, hit
